id,anganwadi_centers,anganwadi_workers,anganwadi_helpers,aadhar_verified_beneficiaries,eligible_beneficiaries
17417,3313,3095,1711,113557,102923
17418,1908,1853,1638,96801,96819
17419,2302,2280,2013,172324,173579
17420,2275,2188,1751,114987,115078
17421,1889,1844,1838,75632,75942
17422,2420,2349,1736,110788,111069
17423,1726,1674,1593,90440,90643
17424,1556,1455,1393,99790,100297
17425,2226,2195,1863,121438,121451
17426,1480,1435,1428,114029,114618
17427,1986,1959,1875,119888,120351
17428,1707,1632,1522,89857,89981
17429,1886,1862,1800,207889,208669
17430,1663,1633,1584,129582,130587
17431,1475,1233,1290,115450,115491
17432,2031,1958,1868,133586,134937
17433,2075,2018,1374,74812,61674
17434,2903,2816,2560,142382,142537
17435,2934,2859,2548,133219,134545
17436,2824,2756,2190,110658,112131
17437,3385,3265,2662,120098,120292
17438,2492,2465,2057,132252,133085
17439,776,765,686,112299,112374
17440,2499,2448,2099,88233,88259
17441,1626,1605,1520,95477,95792
17442,2389,2316,2131,170317,150345
17698,2444,2238,1884,177438,179962
17699,1358,1279,1089,146387,147274
17700,5656,5476,4866,495592,497600
17701,1277,1171,953,60035,60055
17702,1586,1456,1206,62881,63187
17703,2877,2484,2086,191606,193565
17704,2051,1744,1671,147633,149882
17705,1439,1362,1188,55585,55606
17706,2014,1943,1773,82743,82872
17707,1858,1783,1506,60849,60862
17708,2428,2312,2143,130667,130709
17709,2130,2024,1849,122931,123602
17710,1771,1694,1496,124882,124913
17711,1622,1571,1367,137208,137849
17712,1248,1190,1120,96906,97066
17713,2691,2378,1808,86182,86195
17714,1991,1911,1799,151031,151037
17715,3420,3185,2558,282611,283431
17716,883,820,787,27775,28003
17717,2180,2012,1676,111435,112143
17718,1960,1812,1557,160881,161404
17719,2558,2418,2014,98143,98154
17720,2933,2762,2472,172565,173380
17721,2856,2796,2274,268104,224336
17722,2563,2370,1803,117026,117454
17723,4199,3879,3324,169889,169919
17724,1222,1175,1091,53110,53249
17725,2782,2618,2281,89720,89754
17726,1590,1531,1321,134370,135628
17727,2755,2443,1896,257329,257624
17728,1568,1392,1190,173230,145019
17729,2150,2149,2133,79889,83349
17730,2858,2844,2847,151823,155491
17731,1561,1549,1518,51291,52824
17732,2504,2504,2489,159139,162853
17733,1348,1348,1323,86448,90333
17734,2723,2722,2705,124985,127087
17735,2050,2042,2004,65627,67763
17736,2938,2936,2909,201159,205774
17737,3808,3806,3794,507782,507969
17738,2838,2834,2806,176767,178685
17739,1389,1389,1380,46679,46752
17740,3061,3055,3014,148951,154978
17741,3016,3013,2989,156115,159648
17742,876,876,846,73617,57745
17918,172,169,135,6473,6674
17919,13,13,9,421,424
17920,661,598,558,27615,28078
17921,9,9,7,813,818
17992,774,635,567,55063,55975
17993,1267,952,904,105453,105514
17994,1806,1311,1047,174605,174714
17995,1697,1441,1060,159780,159920
17996,2023,1505,1368,149778,150705
17997,1336,1099,729,120313,120903
17998,2035,1656,1292,149780,149966
17999,2080,1709,1468,123061,123064
18000,1162,962,924,123668,124067
18001,940,719,595,72085,72145
18002,1401,1194,1107,103829,103897
18003,1052,871,615,69114,69159
18004,1796,1513,996,105536,107002
18005,2001,1644,1233,185357,185495
18006,692,567,466,48645,49010
18007,633,542,432,42351,42358
18008,1599,1332,1124,97751,97863
18009,490,414,378,44672,44681
18010,1799,1128,1033,111928,113610
18011,1454,1105,874,91874,77458
18012,956,751,606,75068,75488
18013,2697,2244,1836,239952,241403
18014,1552,1296,855,69080,69294
18015,1301,1075,910,97135,97278
18016,1749,1441,1164,140833,142683
18017,486,386,362,25886,25925
18018,1065,800,649,65566,65793
18019,1762,1312,1367,148025,149272
18020,1260,1081,820,70329,71264
18021,1505,1312,1155,89964,90466
18022,1850,1654,1206,179414,179764
18023,1261,1008,883,95824,95824
18024,969,812,613,88515,89488
18025,1512,1321,1134,131782,131791
18026,2127,1702,1377,169461,169769
18027,1075,796,630,92894,93440
18028,1781,1501,1323,140323,140782
18029,1504,1248,1154,151014,122816
18030,1256,1156,848,53171,55758
18031,2060,1920,1188,69941,62945
18032,781,739,628,42941,44291
18033,970,798,633,123143,124858
18034,1065,1012,788,75669,76559
18035,695,671,553,29029,29678
18036,644,600,511,27756,24571
18037,713,650,474,51136,52422
18038,1193,1101,784,75396,76318
18039,777,704,578,54071,54161
18040,1840,1718,1238,80561,80899
18041,973,893,588,41945,41196
18042,1435,1338,991,44155,44434
18043,1185,1136,924,60224,61395
18044,969,890,619,42798,44370
18045,1076,1034,784,59236,60241
18046,793,740,641,120761,121468
18047,640,559,319,18809,19849
18048,1131,991,615,48241,49136
18049,2093,1948,1450,85337,86784
18050,704,683,547,49511,50085
18051,926,830,585,57857,60734
18052,1500,1431,952,131140,132554
18053,706,676,542,39766,40885
18054,587,546,418,40744,40949
18055,1600,1524,1139,146492,152442
18056,1504,1433,1120,106081,106801
18057,1150,1085,896,74485,74497
18058,1209,1133,956,55642,56183
18059,1107,1068,783,61449,63661
18060,589,575,396,25616,26455
18061,919,860,641,51781,53057
18062,901,841,649,48573,49174
18188,3313,3095,1713,113244,102765
18189,1908,1853,1636,96172,96179
18190,2302,2269,2022,170585,171768
18191,2275,2188,1742,114099,114191
18192,1888,1840,1839,75129,75426
18193,2420,2348,1737,111759,112033
18194,1726,1668,1586,88811,89010
18195,1556,1480,1392,99520,100025
18196,2226,2195,1863,120369,120390
18197,1480,1438,1393,112720,113289
18198,1986,1959,1874,118037,118476
18199,1707,1620,1500,88752,88890
18200,1886,1860,1783,203792,204473
18201,1663,1635,1588,129595,130575
18202,1475,1231,1290,115693,115747
18203,2031,1953,1889,132460,133751
18204,2075,2017,1375,73802,60737
18205,2903,2817,2546,139796,139965
18206,2934,2853,2531,131961,133247
18207,2824,2756,2190,109752,111210
18208,3385,3252,2666,119569,119777
18209,2492,2462,2042,130519,131320
18210,776,764,682,111826,111899
18211,2499,2444,2094,87962,87989
18212,1626,1604,1508,97756,98055
18213,2389,2312,2132,168991,149238
18469,2444,2238,1884,175947,178312
18470,1358,1278,1089,144407,145225
18471,5656,5463,4818,494829,496624
18472,1277,1162,948,59926,59931
18473,1586,1443,1182,62432,62659
18474,2877,2473,2076,193104,194889
18475,2051,1743,1671,147732,149897
18476,1442,1355,1182,53547,53570
18477,2014,1943,1761,82557,82587
18478,1858,1783,1497,60873,60889
18479,2428,2321,2136,130050,130091
18480,2131,2046,1888,123546,124043
18481,1771,1684,1465,124662,124683
18482,1622,1569,1361,136644,137258
18483,1248,1190,1123,95371,95502
18484,2691,2380,1807,85224,85226
18485,1991,1910,1793,150166,150166
18486,3420,3185,2562,280165,280992
18487,888,822,756,27633,27855
18488,2180,2015,1679,111993,112713
18489,1960,1810,1557,160658,161170
18490,2558,2410,1984,97831,97843
18491,2933,2734,2458,170038,170740
18492,2856,2711,2275,266900,222901
18493,2563,2370,1800,117078,117478
18494,4199,3848,3318,162855,162861
18495,1222,1171,1088,53655,53798
18496,2782,2623,2278,90087,90090
18497,1590,1528,1319,133321,134593
18498,2755,2440,1891,256335,256657
18499,1568,1386,1193,172032,143181
18500,2150,2150,2133,79421,82801
18501,2858,2848,2847,151334,154923
18502,1561,1549,1522,51337,52772
18503,2504,2504,2490,158635,162267
18504,1348,1348,1333,86247,90051
18505,2723,2722,2708,124560,126590
18506,2050,2042,2006,65301,67396
18507,2938,2936,2914,199461,204010
18508,3808,3807,3800,504892,505081
18509,2838,2835,2807,176926,178173
18510,1389,1389,1382,46389,46462
18511,3061,3056,3011,149078,154955
18512,3016,3013,2990,155842,159270
18513,876,876,846,73305,57350
18689,172,169,136,6520,6721
18690,13,13,9,452,453
18691,661,577,555,27913,28397
18692,9,9,7,824,829
18763,774,659,538,55501,56367
18764,1267,1018,842,108239,108295
18765,1806,1326,1029,177721,177810
18766,1697,1409,1031,161427,161509
18767,2023,1592,1269,149482,150378
18768,1336,1118,713,123745,123808
18769,2035,1657,1289,150229,150395
18770,2080,1750,1418,123031,123032
18771,1162,971,917,125312,125699
18772,940,729,596,74236,74250
18773,1401,1168,1055,105899,105991
18774,1052,877,610,69253,69282
18775,1796,1523,983,105994,107438
18776,2001,1666,1216,185242,185380
18777,692,573,458,48785,49139
18778,633,549,425,42407,42413
18779,1599,1334,1123,98157,98246
18780,490,430,359,44867,44876
18781,1799,1165,1012,112913,114534
18782,1454,1101,860,92512,77953
18783,956,751,605,76190,76610
18784,2697,2249,1829,242450,243769
18785,1552,1299,811,69541,69708
18786,1301,1079,898,97650,97704
18787,1749,1447,1159,142761,144543
18788,486,402,345,25699,25737
18789,1065,805,648,65545,65762
18790,1762,1349,1324,148538,149717
18791,1260,1067,821,70875,71803
18792,1505,1280,1143,90797,91289
18793,1850,1664,1194,182140,182448
18794,1261,1023,866,96246,96247
18795,969,816,601,90404,91354
18796,1512,1314,1125,132720,132720
18797,2127,1726,1354,169869,170156
18798,1075,808,621,95319,95800
18799,1781,1524,1308,141297,141731
18800,1504,1259,1143,151739,123429
18801,1256,1156,848,57023,59427
18802,2060,1920,1186,71360,64072
18803,781,739,628,45794,46846
18804,970,798,633,126309,127652
18805,1065,1012,788,76305,76897
18806,695,671,553,29049,29418
18807,644,601,510,28072,24806
18808,713,650,473,51738,52897
18809,1193,1100,783,75546,76402
18810,777,704,577,54226,54317
18811,1840,1719,1238,80994,81252
18812,973,871,570,45193,43937
18813,1434,1338,991,44438,44688
18814,1185,1134,923,61744,62783
18815,969,891,619,44327,45641
18816,1076,1034,784,59776,60624
18817,793,733,578,122886,123515
18818,640,559,319,18836,19766
18819,1131,986,612,50418,51193
18820,2093,1951,1448,86361,87547
18821,704,683,547,49696,50205
18822,926,830,585,61066,63534
18823,1500,1431,952,133113,134328
18824,706,669,507,40162,41151
18825,587,545,414,41083,41230
18826,1600,1525,1137,147566,152735
18827,1504,1436,1108,109555,110242
18828,1150,1075,883,75528,75536
18829,1209,1134,952,56066,56540
18830,1107,1065,784,62092,64106
18831,589,575,396,26118,26832
18832,919,854,635,51970,52952
18833,901,842,639,49451,49946
18959,3314,3097,1706,112611,103664
18960,1908,1870,1654,95996,96009
18961,2302,2277,2022,170381,171502
18962,2275,2188,1742,113211,113304
18963,1888,1841,1838,74416,74675
18964,2420,2348,1737,112127,112375
18965,1726,1667,1587,88179,88343
18966,1556,1480,1400,96829,97224
18967,2226,2195,1863,118746,118757
18968,1480,1438,1394,112866,113387
18969,1986,1959,1876,116761,117146
18970,1707,1618,1500,88432,88568
18971,1886,1862,1778,201362,202016
18972,1663,1635,1588,129557,130392
18973,1475,1231,1289,114586,114632
18974,2031,1946,1865,131758,132843
18975,2075,2015,1374,74403,61011
18976,2903,2817,2545,137930,138099
18977,2934,2852,2529,130405,131564
18978,2824,2755,2190,109575,110956
18979,3385,3250,2671,118355,118545
18980,2492,2460,2044,129354,130094
18981,776,764,682,110264,110383
18982,2499,2444,2101,87564,87604
18983,1626,1604,1508,97090,97335
18984,2389,2312,2130,168086,148697
19240,2444,2238,1884,174171,176465
19241,1358,1279,1083,136779,137560
19242,5656,5466,4820,488801,490010
19243,1277,1163,948,59388,59398
19244,1586,1442,1180,62083,62297
19245,2877,2481,2062,193866,195546
19246,2051,1747,1670,146156,148297
19247,1442,1351,1181,52725,52746
19248,2014,1943,1749,82266,82292
19249,1858,1782,1496,60680,60729
19250,2428,2329,2131,128809,128854
19251,2131,2056,1902,124490,124870
19252,1771,1687,1447,118108,118131
19253,1622,1569,1361,135420,136004
19254,1248,1190,1122,94213,94333
19255,2691,2380,1816,84566,84573
19256,1991,1916,1790,149406,149407
19257,3420,3186,2563,276560,277377
19258,886,821,733,27858,28087
19259,2180,2014,1664,111981,112685
19260,1960,1810,1557,160094,160583
19261,2558,2412,1981,97774,97781
19262,2933,2746,2461,162705,163277
19263,2856,2710,2276,264799,220796
19264,2563,2398,1861,116768,117157
19265,4199,3856,3277,160431,160438
19266,1222,1199,1113,54424,54516
