id,state_name,district_name,health_id_created,awc_infra_drink_water_src,awc_infra_func_toilets,awc_infra_own_building,awc_did_not_open,awc_open_atleast_1_day,awc_open_atleast_15_days,awc_open_atleast_21_days,awc_open_atleast_25_days,adolescent_girls,children_0_6_months,children_0_2_years,children_3_6_years,children_6_months_3_years,children_measured_0_5_years,children_measured_0_6_years,children_attend_awc_atleast_25_days,hcm_given_1_6_days,hcm_given_7_14_days,hcm_given_15_20_days,hcm_given_atleast_1_day,hcm_given_atleast_15_days,hcm_given_atleast_25_days,lactating_mothers,pregnant_women,pregnant_women_and_lactating_mother,obese_or_overweight,severely_moderately_underweight,severely_or_moderately_stunted,wasting_sam_or_mam,thr_given_atleast_1_day,thr_given_atleast_25_days,awc_mini,awc_regular,awc_rural,awc_urban,awc_total,awc_tribal_rural,awc_tribal_urban,janman_rural,janman_urban,awc_rural_pvtg,awc_urban_pvtg
17417,Andhra Pradesh,Alluri Sitharama Raju,636,2901,1478,1320,121,0,2777,2099,203,14766,3863,13516,49606,39469,80280,91012,0,0,0,0,0,0,0,3981,6004,6727,3,22,36.5,11,0,0,1344,1969,3312,1,3313,3008,1,0,0,524,0
17418,Andhra Pradesh,Anakapalli,577,1908,1659,902,2,0,1906,1904,262,0,7371,19616,32604,42355,75887,81713,0,0,0,0,0,0,0,7668,6821,11907,3,8.5,21,5,0,0,181,1727,1714,194,1908,301,1,0,0,3,0
17419,Andhra Pradesh,Ananthapuramu,811,2300,2215,1043,0,0,2277,2139,192,0,10158,32582,65414,75040,135863,149300,0,0,0,0,0,0,0,10760,12207,17815,3,10.5,22,5,0,0,207,2095,1952,350,2302,0,0,0,0,0,0
17420,Andhra Pradesh,Annamayya,1201,2215,1659,1064,0,0,2275,2275,370,0,7391,22273,39647,51467,90347,98322,0,0,0,0,0,0,0,7791,8782,12870,5,8,21,5,0,0,410,1865,2144,131,2275,0,0,0,0,0,0
17421,Andhra Pradesh,Bapatla,492,1889,1763,606,1,0,1886,1834,258,0,5047,14654,26377,34108,60723,65299,0,0,0,0,0,0,0,5441,4969,7890,3,7.5,19.5,5,0,0,11,1878,1678,211,1889,0,0,0,0,0,0
17422,Andhra Pradesh,Chittoor,569,2399,2121,1153,0,0,2420,2420,246,0,6872,21798,36966,51125,89290,94426,0,0,0,0,0,0,0,7438,8668,12416,3,9.5,22,6,0,0,623,1797,2157,263,2420,0,0,0,0,0,0
17423,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,189,1726,1702,692,0,0,1726,1721,169,0,5840,15941,35060,37453,70363,78085,0,0,0,0,0,0,0,6308,5982,9202,2,8.5,20,4,0,0,91,1635,1660,66,1726,0,0,0,0,0,0
17424,Andhra Pradesh,East Godavari,886,1556,1550,722,0,0,1556,1548,186,0,6571,18321,36628,43621,78773,86464,0,0,0,0,0,0,0,6906,6571,9988,3,9,21,4,0,0,23,1533,1324,232,1556,0,0,0,0,0,0
17425,Andhra Pradesh,Eluru,459,2226,2141,973,0,0,2225,2224,146,0,8583,22100,48056,48642,93185,104751,0,0,0,0,0,0,0,8758,7412,12350,3,9.5,20.5,4,0,0,266,1960,1977,249,2226,245,0,0,0,82,0
17426,Andhra Pradesh,Guntur,1775,1480,1439,377,0,0,1479,1469,130,0,5733,17598,49867,46170,87745,101171,0,0,0,0,0,0,0,6366,6482,9329,3,7,18.5,4,0,0,17,1463,1008,472,1480,0,0,0,0,0,0
17427,Andhra Pradesh,Kakinada,404,1986,1957,733,0,0,1986,1986,356,0,7867,22379,42571,53525,95228,103048,0,0,0,0,0,0,0,8293,8095,12543,3,9.5,22,5,0,0,48,1938,1533,453,1986,3,0,0,0,2,0
17428,Andhra Pradesh,Krishna,473,1707,1697,1026,0,0,1707,1707,146,0,5744,15610,36295,36542,68918,78330,0,0,0,0,0,0,0,6048,5352,8576,3,7,17.5,4,0,0,108,1599,1490,217,1707,0,0,0,0,0,0
17429,Andhra Pradesh,Kurnool,388,1874,1783,734,0,0,1879,1827,539,0,11908,39549,71192,95540,165488,177971,0,0,0,0,0,0,0,13490,16539,21644,1,10.5,20,4,0,0,16,1870,1528,358,1886,0,0,0,0,0,0
17430,Andhra Pradesh,Nandyal,220,1639,1424,636,0,0,1663,1644,281,0,7223,23350,49007,56819,102589,112555,0,0,0,0,0,0,0,7859,9679,13259,1,10.5,20,5,0,0,43,1620,1404,259,1663,9,0,0,0,0,0
17431,Andhra Pradesh,Ntr,422,1473,1401,589,0,0,1475,1475,159,0,6733,19447,48366,46276,87948,101033,0,0,0,0,0,0,0,7256,6860,10589,3,7.5,21.5,3,0,0,50,1425,1001,474,1475,0,0,0,0,0,0
17432,Andhra Pradesh,Palnadu,434,2031,1956,566,0,0,2031,2021,198,0,7750,23020,53121,57404,105664,117584,0,0,0,0,0,0,0,8330,8332,12089,3,7.5,18.5,4,0,0,20,2011,1707,324,2031,0,0,0,0,0,0
17433,Andhra Pradesh,Parvathipuram Manyam,423,2065,1921,727,11,0,2064,2038,231,13523,3319,10878,24853,25849,48647,53736,0,0,0,0,0,0,0,3718,3935,6007,2,10.5,22,5,0,0,620,1455,1888,187,2075,1007,0,0,0,43,0
17434,Andhra Pradesh,Prakasam,1272,2886,2458,1170,1,0,2899,2866,361,0,8719,25499,54268,61341,113048,123870,0,0,0,0,0,0,0,9368,8841,13267,3,8,21,4,0,0,227,2676,2509,394,2903,27,0,0,0,1,0
17435,Andhra Pradesh,Sri Potti Sriramulu Nellore,1026,2758,2435,1073,0,0,2931,2906,327,0,7107,22587,53190,58314,107201,117974,0,0,0,0,0,0,0,7599,8335,11335,3,11,21.5,6,0,0,230,2704,2461,473,2934,0,0,0,0,0,0
