id,date,state_name,state_code,district_name,district_code,project,sector
17417,01-01-2025,Andhra Pradesh,28,Alluri Sitharama Raju,745,19,143
17418,01-01-2025,Andhra Pradesh,28,Anakapalli,744,9,75
17419,01-01-2025,Andhra Pradesh,28,Ananthapuramu,502,11,91
17420,01-01-2025,Andhra Pradesh,28,Annamayya,753,11,98
17421,01-01-2025,Andhra Pradesh,28,Bapatla,750,9,76
17422,01-01-2025,Andhra Pradesh,28,Chittoor,503,12,97
17423,01-01-2025,Andhra Pradesh,28,Dr. B.R. Ambedkar Konaseema,747,7,69
17424,01-01-2025,Andhra Pradesh,28,East Godavari,505,7,59
17425,01-01-2025,Andhra Pradesh,28,Eluru,748,10,87
17426,01-01-2025,Andhra Pradesh,28,Guntur,506,6,58
17427,01-01-2025,Andhra Pradesh,28,Kakinada,746,9,78
17428,01-01-2025,Andhra Pradesh,28,Krishna,510,8,65
17429,01-01-2025,Andhra Pradesh,28,Kurnool,511,10,73
17430,01-01-2025,Andhra Pradesh,28,Nandyal,755,6,67
17431,01-01-2025,Andhra Pradesh,28,Ntr,749,6,53
17432,01-01-2025,Andhra Pradesh,28,Palnadu,751,9,83
17433,01-01-2025,Andhra Pradesh,28,Parvathipuram Manyam,743,10,86
17434,01-01-2025,Andhra Pradesh,28,Prakasam,517,13,118
17435,01-01-2025,Andhra Pradesh,28,Sri Potti Sriramulu Nellore,515,13,117
17436,01-01-2025,Andhra Pradesh,28,Sri Sathya Sai,754,12,114
17437,01-01-2025,Andhra Pradesh,28,Srikakulam,519,16,131
17438,01-01-2025,Andhra Pradesh,28,Tirupati,752,12,97
17439,01-01-2025,Andhra Pradesh,28,Visakhapatnam,520,3,29
17440,01-01-2025,Andhra Pradesh,28,Vizianagaram,521,11,99
17441,01-01-2025,Andhra Pradesh,28,West Godavari,523,7,64
17442,01-01-2025,Andhra Pradesh,28,Y.S.R. Kadapa,504,13,92
17698,01-01-2025,Karnataka,29,Bagalkote,524,6,85
17699,01-01-2025,Karnataka,29,Ballari,528,4,47
17700,01-01-2025,Karnataka,29,Belagavi,527,14,209
17701,01-01-2025,Karnataka,29,Bengaluru Rural,526,4,43
17702,01-01-2025,Karnataka,29,Bengaluru South,631,5,53
17703,01-01-2025,Karnataka,29,Bengaluru Urban,525,6,94
17704,01-01-2025,Karnataka,29,Bidar,529,5,61
17705,01-01-2025,Karnataka,29,Chamarajanagar,531,5,56
17706,01-01-2025,Karnataka,29,Chikkaballapura,630,6,74
17707,01-01-2025,Karnataka,29,Chikkamagaluru,532,7,65
17708,01-01-2025,Karnataka,29,Chitradurga,533,7,88
17709,01-01-2025,Karnataka,29,Dakshina Kannada,534,7,82
17710,01-01-2025,Karnataka,29,Davanagere,535,5,64
17711,01-01-2025,Karnataka,29,Dharwad,536,6,58
17712,01-01-2025,Karnataka,29,Gadag,537,5,45
17713,01-01-2025,Karnataka,29,Hassan,539,8,85
17714,01-01-2025,Karnataka,29,Haveri,540,7,78
17715,01-01-2025,Karnataka,29,Kalaburagi,538,9,115
17716,01-01-2025,Karnataka,29,Kodagu,541,3,34
17717,01-01-2025,Karnataka,29,Kolar,542,6,79
17718,01-01-2025,Karnataka,29,Koppal,543,5,71
17719,01-01-2025,Karnataka,29,Mandya,544,8,89
17720,01-01-2025,Karnataka,29,Mysuru,545,9,107
17721,01-01-2025,Karnataka,29,Raichur,546,8,96
17722,01-01-2025,Karnataka,29,Shivamogga,547,7,85
17723,01-01-2025,Karnataka,29,Tumakuru,548,11,138
17724,01-01-2025,Karnataka,29,Udupi,549,4,48
17725,01-01-2025,Karnataka,29,Uttara Kannada,550,11,99
17726,01-01-2025,Karnataka,29,Vijayanagara,738,5,55
17727,01-01-2025,Karnataka,29,Vijayapura,530,7,86
17728,01-01-2025,Karnataka,29,Yadgir,635,4,50
17729,01-01-2025,Kerala,32,Alappuzha,554,15,87
17730,01-01-2025,Kerala,32,Ernakulam,555,23,109
17731,01-01-2025,Kerala,32,Idukki,556,13,55
17732,01-01-2025,Kerala,32,Kannur,557,21,94
17733,01-01-2025,Kerala,32,Kasaragod,558,12,41
17734,01-01-2025,Kerala,32,Kollam,559,21,93
17735,01-01-2025,Kerala,32,Kottayam,560,15,85
17736,01-01-2025,Kerala,32,Kozhikode,561,21,106
17737,01-01-2025,Kerala,32,Malappuram,562,29,130
17738,01-01-2025,Kerala,32,Palakkad,563,21,108
17739,01-01-2025,Kerala,32,Pathanamthitta,564,12,57
17740,01-01-2025,Kerala,32,Thiruvananthapuram,565,24,104
17741,01-01-2025,Kerala,32,Thrissur,566,23,115
17742,01-01-2025,Kerala,32,Wayanad,567,8,37
17918,01-01-2025,Puducherry,34,Karaikal,598,1,8
17919,01-01-2025,Puducherry,34,Mahe,,1,1
17920,01-01-2025,Puducherry,34,Puducherry,600,4,23
17921,01-01-2025,Puducherry,34,Yanam,,1,1
17992,01-01-2025,Tamil Nadu,33,Ariyalur,610,6,22
17993,01-01-2025,Tamil Nadu,33,Chengalpattu,730,8,49
17994,01-01-2025,Tamil Nadu,33,Chennai,568,16,73
17995,01-01-2025,Tamil Nadu,33,Coimbatore,569,18,48
17996,01-01-2025,Tamil Nadu,33,Cuddalore,570,14,71
17997,01-01-2025,Tamil Nadu,33,Dharmapuri,571,8,37
17998,01-01-2025,Tamil Nadu,33,Dindigul,572,15,63
17999,01-01-2025,Tamil Nadu,33,Erode,573,15,58
18000,01-01-2025,Tamil Nadu,33,Kallakurichi,729,9,40
18001,01-01-2025,Tamil Nadu,33,Kancheepuram,574,6,38
18002,01-01-2025,Tamil Nadu,33,Kanniyakumari,575,10,50
18003,01-01-2025,Tamil Nadu,33,Karur,576,8,26
18004,01-01-2025,Tamil Nadu,33,Krishnagiri,577,10,50
18005,01-01-2025,Tamil Nadu,33,Madurai,578,17,72
18006,01-01-2025,Tamil Nadu,33,Mayiladuthurai,735,5,19
18007,01-01-2025,Tamil Nadu,33,Nagapattinam,579,7,22
18008,01-01-2025,Tamil Nadu,33,Namakkal,580,16,57
18009,01-01-2025,Tamil Nadu,33,Perambalur,581,4,13
18010,01-01-2025,Tamil Nadu,33,Pudukkottai,582,13,86
18011,01-01-2025,Tamil Nadu,33,Ramanathapuram,583,11,42
18012,01-01-2025,Tamil Nadu,33,Ranipet,731,8,26
18013,01-01-2025,Tamil Nadu,33,Salem,584,22,91
18014,01-01-2025,Tamil Nadu,33,Sivaganga,585,12,43
18015,01-01-2025,Tamil Nadu,33,Tenkasi,733,11,34
18016,01-01-2025,Tamil Nadu,33,Thanjavur,586,16,60
18017,01-01-2025,Tamil Nadu,33,The Nilgiris,587,4,20
18018,01-01-2025,Tamil Nadu,33,Theni,588,9,34
18019,01-01-2025,Tamil Nadu,33,Thiruvallur,589,13,79
18020,01-01-2025,Tamil Nadu,33,Thiruvarur,590,10,34
18021,01-01-2025,Tamil Nadu,33,Thoothukkudi,594,13,54
18022,01-01-2025,Tamil Nadu,33,Tiruchirappalli,591,16,54
18023,01-01-2025,Tamil Nadu,33,Tirunelveli,592,10,32
18024,01-01-2025,Tamil Nadu,33,Tirupathur,732,7,31
18025,01-01-2025,Tamil Nadu,33,Tiruppur,634,14,43
18026,01-01-2025,Tamil Nadu,33,Tiruvannamalai,593,19,68
18027,01-01-2025,Tamil Nadu,33,Vellore,595,8,35
18028,01-01-2025,Tamil Nadu,33,Viluppuram,596,14,62
18029,01-01-2025,Tamil Nadu,33,Virudhunagar,597,12,47
18030,01-01-2025,Telangana,36,Adilabad,501,5,51
18031,01-01-2025,Telangana,36,Bhadradri Kothagudem,690,11,84
18032,01-01-2025,Telangana,36,Hanumakonda,686,3,32
18033,01-01-2025,Telangana,36,Hyderabad,507,5,37
18034,01-01-2025,Telangana,36,Jagitial,681,4,42
18035,01-01-2025,Telangana,36,Jangoan,689,3,27
18036,01-01-2025,Telangana,36,Jayashankar Bhupalapally,687,2,26
18037,01-01-2025,Telangana,36,Jogulamba Gadwal,695,3,29
18038,01-01-2025,Telangana,36,Kamareddy,685,5,48
18039,01-01-2025,Telangana,36,Karimnagar,508,4,31
18040,01-01-2025,Telangana,36,Khammam,509,7,74
18041,01-01-2025,Telangana,36,Kumuram Bheem Asifabad,699,5,40
18042,01-01-2025,Telangana,36,Mahabubabad,688,5,58
18043,01-01-2025,Telangana,36,Mahabubnagar,512,4,48
18044,01-01-2025,Telangana,36,Mancherial,684,4,38
18045,01-01-2025,Telangana,36,Medak,513,4,42
18046,01-01-2025,Telangana,36,Medchal Malkajgiri,700,3,32
18047,01-01-2025,Telangana,36,Mulugu,720,4,27
18048,01-01-2025,Telangana,36,Nagarkurnool,694,5,46
18049,01-01-2025,Telangana,36,Nalgonda,514,9,82
18050,01-01-2025,Telangana,36,Narayanpet,721,3,29
18051,01-01-2025,Telangana,36,Nirmal,680,4,37
18052,01-01-2025,Telangana,36,Nizamabad,516,5,59
18053,01-01-2025,Telangana,36,Peddapalli,682,3,28
18054,01-01-2025,Telangana,36,Rajanna Sircilla,683,2,24
18055,01-01-2025,Telangana,36,Ranga Reddy,518,7,63
18056,01-01-2025,Telangana,36,Sangareddy,691,5,60
18057,01-01-2025,Telangana,36,Siddipet,692,5,47
18058,01-01-2025,Telangana,36,Suryapet,696,5,48
18059,01-01-2025,Telangana,36,Vikarabad,698,5,44
18060,01-01-2025,Telangana,36,Wanaparthy,693,3,23
18061,01-01-2025,Telangana,36,Warangal,522,3,37
18062,01-01-2025,Telangana,36,Yadadri Bhuvanagiri,697,4,36
18188,01-02-2025,Andhra Pradesh,28,Alluri Sitharama Raju,745,19,144
18189,01-02-2025,Andhra Pradesh,28,Anakapalli,744,9,75
18190,01-02-2025,Andhra Pradesh,28,Ananthapuramu,502,11,91
18191,01-02-2025,Andhra Pradesh,28,Annamayya,753,11,98
18192,01-02-2025,Andhra Pradesh,28,Bapatla,750,9,77
18193,01-02-2025,Andhra Pradesh,28,Chittoor,503,12,97
